"Month";"Clearwater River at Kamiah, Idaho. 1911 ? 1965"
"1923-04";53.434
"1923-05";36.076
"1923-06";73.171
"1923-07";362.456
"1923-08";818.074
"1923-09";728.593
"1923-10";191.790
"1923-11";58.956
"1923-12";36.699
"1924-01";46.836
"1924-02";45.732
"1924-03";48.988
"1924-04";40.805
"1924-05";108.312
"1924-06";82.883
"1924-07";292.796
"1924-08";1058.484
"1924-09";266.093
"1924-10";75.040
"1924-11";38.115
"1924-12";32.253
"1925-01";42.702
"1925-02";83.535
"1925-03";85.630
"1925-04";81.694
"1925-05";165.965
"1925-06";173.894
"1925-07";750.113
"1925-08";1132.674
"1925-09";488.749
"1925-10";134.279
"1925-11";57.342
"1925-12";51.735
"1926-01";59.890
"1926-02";59.324
"1926-03";91.577
"1926-04";64.902
"1926-05";107.378
"1926-06";169.505
"1926-07";511.686
"1926-08";564.921
"1926-09";196.406
"1926-10";66.856
"1926-11";39.530
"1926-12";57.342
"1927-01";106.896
"1927-02";149.994
"1927-03";211.385
"1927-04";122.414
"1927-05";130.144
"1927-06";142.972
"1927-07";355.660
"1927-08";871.310
"1927-09";1226.120
"1927-10";242.222
"1927-11";71.727
"1927-12";82.232
"1928-01";154.044
"1928-02";527.543
"1928-03";299.875
"1928-04";258.986
"1928-05";154.922
"1928-06";260.742
"1928-07";387.375
"1928-08";1422.922
"1928-09";552.462
"1928-10";172.676
"1928-11";60.003
"1928-12";43.863
"1929-01";60.853
"1929-02";45.392
"1929-03";37.888
"1929-04";31.375
"1929-05";32.904
"1929-06";94.635
"1929-07";201.305
"1929-08";686.117
"1929-09";658.933
"1929-10";137.167
"1929-11";41.399
"1929-12";28.883
"1930-01";32.083
"1930-02";31.573
"1930-03";57.908
"1930-04";29.393
"1930-05";104.263
"1930-06";108.963
"1930-07";557.276
"1930-08";534.056
"1930-09";381.994
"1930-10";89.595
"1930-11";37.095
"1930-12";38.624
"1931-01";62.042
"1931-02";57.143
"1931-03";43.750
"1931-04";48.960
"1931-05";53.774
"1931-06";113.013
"1931-07";314.317
"1931-08";718.965
"1931-09";235.766
"1931-10";54.850
"1931-11";27.666
"1931-12";30.101
"1932-01";34.433
"1932-02";38.653
"1932-03";38.313
"1932-04";35.453
"1932-05";51.650
"1932-06";185.900
"1932-07";462.981
"1932-08";1165.238
"1932-09";689.515
"1932-10";148.522
"1932-11";46.100
"1932-12";34.462
"1933-01";41.852
"1933-02";87.414
"1933-03";62.297
"1933-04";61.419
"1933-05";43.636
"1933-06";100.751
"1933-07";344.899
"1933-08";652.703
"1933-09";1394.039
"1933-10";179.416
"1933-11";45.590
"1933-12";39.955
"1934-01";91.832
"1934-02";146.851
"1934-03";263.347
"1934-04";264.961
"1934-05";192.979
"1934-06";390.206
"1934-07";782.111
"1934-08";538.020
"1934-09";181.086
"1934-10";54.482
"1934-11";24.154
"1934-12";22.823
"1935-01";44.826
"1935-02";79.429
"1935-03";62.071
"1935-04";56.549
"1935-05";65.469
"1935-06";108.623
"1935-07";312.901
"1935-08";695.745
"1935-09";483.086
"1935-10";112.871
"1935-11";37.916
"1935-12";26.788
"1936-01";30.639
"1936-02";31.205
"1936-03";28.827
"1936-04";40.918
"1936-05";35.736
"1936-06";127.341
"1936-07";685.551
"1936-08";1034.981
"1936-09";345.466
"1936-10";76.229
"1936-11";33.244
"1936-12";29.733
"1937-01";27.043
"1937-02";24.268
"1937-03";30.667
"1937-04";21.039
"1937-05";27.156
"1937-06";59.664
"1937-07";170.977
"1937-08";697.444
"1937-09";432.398
"1937-10";94.267
"1937-11";35.594
"1937-12";24.353
"1938-01";27.411
"1938-02";39.332
"1938-03";66.686
"1938-04";57.200
"1938-05";59.324
"1938-06";134.279
"1938-07";471.759
"1938-08";829.117
"1938-09";573.699
"1938-10";119.271
"1938-11";43.070
"1938-12";29.733
"1939-01";40.606
"1939-02";49.441
"1939-03";61.646
"1939-04";53.292
"1939-05";47.091
"1939-06";155.545
"1939-07";461.565
"1939-08";795.704
"1939-09";291.097
"1939-10";101.573
"1939-11";33.131
"1939-12";26.901
"1940-01";33.867
"1940-02";32.536
"1940-03";57.370
"1940-04";66.148
"1940-05";99.760
"1940-06";191.847
"1940-07";447.123
"1940-08";661.765
"1940-09";278.383
"1940-10";57.427
"1940-11";25.570
"1940-12";33.102
"1941-01";53.576
"1941-02";55.444
"1941-03";64.336
"1941-04";52.386
"1941-05";53.604
"1941-06";93.984
"1941-07";225.346
"1941-08";438.062
"1941-09";341.218
"1941-10";106.386
"1941-11";46.157
"1941-12";82.572
"1942-01";119.950
"1942-02";161.038
"1942-03";179.189
"1942-04";94.748
"1942-05";84.158
"1942-06";105.707
"1942-07";472.608
"1942-08";551.329
"1942-09";483.935
"1942-10";162.539
"1942-11";47.771
"1942-12";35.453
"1943-01";33.640
"1943-02";85.404
"1943-03";95.711
"1943-04";97.183
"1943-05";101.884
"1943-06";163.700
"1943-07";705.090
"1943-08";798.818
"1943-09";915.484
"1943-10";371.800
"1943-11";70.707
"1943-12";41.286
"1944-01";38.369
"1944-02";47.346
"1944-03";39.247
"1944-04";30.412
"1944-05";40.805
"1944-06";60.740
"1944-07";222.910
"1944-08";566.054
"1944-09";401.816
"1944-10";118.619
"1944-11";46.355
"1944-12";35.000
"1945-01";32.933
"1945-02";40.267
"1945-03";34.943
"1945-04";72.718
"1945-05";77.022
"1945-06";85.007
"1945-07";207.478
"1945-08";823.454
"1945-09";597.769
"1945-10";150.079
"1945-11";42.532
"1945-12";44.656
"1946-01";47.969
"1946-02";97.099
"1946-03";81.411
"1946-04";90.161
"1946-05";72.180
"1946-06";184.852
"1946-07";505.173
"1946-08";794.288
"1946-09";452.220
"1946-10";155.375
"1946-11";53.094
"1946-12";54.085
"1947-01";112.899
"1947-02";129.635
"1947-03";286.283
"1947-04";116.099
"1947-05";153.138
"1947-06";204.986
"1947-07";452.786
"1947-08";1106.339
"1947-09";567.753
"1947-10";169.986
"1947-11";54.850
"1947-12";48.450
"1948-01";90.756
"1948-02";115.958
"1948-03";125.274
"1948-04";144.331
"1948-05";110.238
"1948-06";130.965
"1948-07";426.452
"1948-08";1280.488
"1948-09";1045.175
"1948-10";197.453
"1948-11";83.025
"1948-12";45.449
"1949-01";47.459
"1949-02";63.118
"1949-03";49.753
"1949-04";43.268
"1949-05";69.178
"1949-06";196.292
"1949-07";548.781
"1949-08";1287.284
"1949-09";570.868
"1949-10";132.268
"1949-11";44.911
"1949-12";36.812
"1950-01";53.377
"1950-02";94.493
"1950-03";96.957
"1950-04";85.687
"1950-05";136.912
"1950-06";211.074
"1950-07";421.638
"1950-08";768.519
"1950-09";1101.242
"1950-10";354.527
"1950-11";91.577
"1950-12";45.873
"1951-01";98.231
"1951-02";156.252
"1951-03";158.829
"1951-04";119.554
"1951-05";193.348
"1951-06";134.024
"1951-07";491.014
"1951-08";892.547
"1951-09";574.266
"1951-10";197.057
"1951-11";53.377
"1951-12";35.283
"1952-01";76.172
"1952-02";67.507
"1952-03";67.281
"1952-04";50.376
"1952-05";67.196
"1952-06";96.221
"1952-07";553.594
"1952-08";1025.353
"1952-09";558.692
"1952-10";141.018
"1952-11";47.912
"1952-12";31.743
"1953-01";25.967
"1953-02";25.995
"1953-03";29.081
"1953-04";81.269
"1953-05";108.623
"1953-06";101.941
"1953-07";282.772
"1953-08";629.484
"1953-09";912.369
"1953-10";249.868
"1953-11";52.386
"1953-12";30.327
"1954-01";28.912
"1954-02";39.389
"1954-03";51.084
"1954-04";46.128
"1954-05";85.036
"1954-06";101.912
"1954-07";365.571
"1954-08";919.165
"1954-09";710.187
"1954-10";289.965
"1954-11";72.236
"1954-12";45.675
"1955-01";44.939
"1955-02";50.631
"1955-03";42.249
"1955-04";42.022
"1955-05";44.033
"1955-06";45.958
"1955-07";195.018
"1955-08";731.424
"1955-09";1060.749
"1955-10";361.889
"1955-11";74.757
"1955-12";43.919
"1956-01";57.653
"1956-02";113.098
"1956-03";182.389
"1956-04";133.910
"1956-05";78.579
"1956-06";190.742
"1956-07";627.785
"1956-08";1159.575
"1956-09";673.375
"1956-10";167.607
"1956-11";57.766
"1956-12";39.559
"1957-01";48.903
"1957-02";65.723
"1957-03";88.207
"1957-04";51.197
"1957-05";86.253
"1957-06";191.592
"1957-07";354.244
"1957-08";1209.979
"1957-09";712.735
"1957-10";146.058
"1957-11";48.535
"1957-12";33.895
"1958-01";41.201
"1958-02";40.125
"1958-03";49.130
"1958-04";44.089
"1958-05";100.128
"1958-06";91.577
"1958-07";330.458
"1958-08";1006.947
"1958-09";458.733
"1958-10";115.533
"1958-11";47.063
"1958-12";42.674
"1959-01";63.090
"1959-02";177.802
"1959-03";245.337
"1959-04";174.177
"1959-05";143.198
"1959-06";170.241
"1959-07";449.388
"1959-08";793.155
"1959-09";938.137
"1959-10";194.707
"1959-11";56.917
"1959-12";86.735
"1960-01";280.082
"1960-02";222.882
"1960-03";139.177
"1960-04";83.138
"1960-05";97.721
"1960-06";199.662
"1960-07";486.200
"1960-08";670.543
"1960-09";726.327
"1960-10";135.553
"1960-11";53.745
"1960-12";39.247

Clearwater River at Kamiah, Idaho. 1911 ? 1965

